org_id,req
USCG,- Sector Houston-Galveston - VTS Playback - 26NOV15 1430 - 1600 hours CDT
USCG,"* Number of instances of arrests/seizures under the Drug Trafficking Vessel Interdiction Act. For each instance please provide information on any cargo seized, the number of individuals arrested, and any case references for further prosecution. * The number of flagged semi submersibles arrested for trafficking offences. For each instance please provide information on the flag state,  cargo seized, and number of individuals arrested."
USCG,"• Any and all records of communication (including but not limited to letters, written requests, reports, telephone records, electronic communication, complaints, investigations, violation and memos) between your department (and all divisions and agencies under your jurisdiction) and the following individual: John Kasich -2011-Present, when Kasich was Governor of Ohio -2001-2010, when Kasi ch was a member of the private sector. This includes, but is not limited to his positions as a: Candidate for OH Governor Managing Director at Lehman Brothers; Managing Director at Barclays Capital; Contributor/Host on Fox News; Presidential fellow at Ohio State University; Board Member at Invacare Corporation; Board Member at Norvax Inc.; Board Member at Worthington Industries; Associate at Schottenstein Property Group -1983- 2001, when Kasich was a member of the U.S. House of Representatives, OH-12 -1978-1983, when Kasich was a member of the Ohio State Senate • Any and all freedom of information requests filed with your department I agency (and"
USCG,"• Details of all internal communications and communications with BP and/or the unified command regarding the use of dispersants and any human safety and health concerns for spill workers and/or the civilian population along the affected Gulf state’s coastline. • Details of all internal communications regarding historical use of dispersants on oil spills past on Valdez spill, Atlantic Empress and the Ixtoc 1."
USCG,"• The power point presentation titled “Complementary PNT Tiger Team (CPNT3)” given to the Spaced-based Positioning, Navigation, and Timing Executive Committee on the 15th of December 2014 presented by                    (DOT Research and Technology),                            (US Coast Guard), and                                   (DOD
CIO C4) • Supporting spreadsheets, graphs and other material associated with the above presentation • Any summaries of the above presentation and discussion"
USCG,"• The text and/or audio of any emergency communications received from the vessel El Faro between September 28, 2015, and October 2, 2015. • Documents showing how port state control inspections were carried out and how many detentions were made between 2009 and 2014, as well as 2015 to date. Please note that this requests only seeks data showing the numbers not details of each individual inspection."
USCG,• Total payroll expenditures to Coast Guard - Active Duty service members stationed within the Commonwealth of Kentucky during fiscal year (FY) 15. • Total payroll expenditures to Coast Guard - Reserve service members stationed within the Commonwealth of Kentucky during FY 15.
USCG,1) A list of Oil Spill Response Organizations (OSRO) that were involved in the 2010 Deepwater Horizon spill clean up.
USCG,1) Identify the reporting party for 2015 Sequence Numbers 1131529 and 1131530. 2) Provide the procedure for correcting reports attributed to the “Suspected Responsible Party”.
USCG,"1. Data Output Format: Raw NMEA 0183 Data File
2. Period of Interest (From and To Dates): 1/1/2015 – 3/31/2015 (24 hrs/ day) 3. Area of Interest: Please include a brief general description: New York Harbor (~850 sq miles) Please define your boxed coordinates using: Upper right latitude: 40.283884 Upper right longitude: -73.673407 Lower left latitude: 40.300644 Lower left longitude: -74.333960 4. Vessel Information: All Vessels"
